vehicle_model,fuel_type,transmission_type,country,maximum_power(hp),maximum_torque(N/m),maximum_speed(km/h),vehicle_acceleration(0-100 km/h in seconds),vehicle_mileage(mpg),vehicle_sprung_mass(kg),steering_radius(m),axle_type(driven/dead),tyre_brand,tyre_size,tread_material,tread_pattern,tyre_camber_angle(degree),standard_tread_depth(mm),retreaded,road_condition,weather_condition,expected_tyre_life(km),kilometers_driven(km),remaining_useful_life(km),current_tread_depth(mm)
Sedan,Petrol,Manual,Germany,177,396,227,10.47,27.94,1233,5.67,dead,Goodyear,205/55R16,Carbon Black,Asymmetric,0.71,7.5,No,Smooth,Dry,52822.2,37900.2,9300.8,3.04
Truck,Petrol,Manual,Japan,235,457,142,10.87,49.27,1407,6.07,driven,Pirelli,195/65R15,Carbon Black,Asymmetric,-2.47,8.5,No,Smooth,Cold,50384.8,14851.6,22147.7,6.48
SUV,Diesel,Automatic,UK,81,432,191,11.76,38.74,1693,5.99,dead,Continental,195/65R15,Dual Compound,Symmetric,-0.03,7.5,No,Off-road,Humid,51447.3,5740.6,28488.7,6.84
Coupe,Electric,Manual,UK,429,297,213,7.11,35.72,2169,4.6,dead,Michelin,225/65R17,Carbon Black,Directional,2.58,7.5,No,Smooth,Dry,62063.0,44512.9,10938.9,3.08
Sedan,Diesel,Manual,USA,248,449,264,9.68,44.74,1561,6.29,driven,Continental,205/55R16,Carbon Black,Directional,2.38,7.5,No,Off-road,Cold,45051.4,8074.4,23047.6,6.41
Hatchback,Electric,Manual,Japan,394,473,204,13.82,47.62,1429,4.95,dead,Goodyear,225/65R17,Carbon Black,Directional,-0.98,8.0,No,Off-road,Cold,58828.6,6533.8,32595.1,7.4
Sedan,Petrol,Manual,Japan,404,273,191,12.98,42.44,1431,5.61,driven,Michelin,195/65R15,Carbon Black,Directional,0.19,8.0,No,Smooth,Cold,60344.7,33295.8,16859.5,4.58
Hatchback,Hybrid,Automatic,UK,171,533,215,13.53,32.6,1496,5.79,dead,Goodyear,205/55R16,Carbon Black,Directional,1.18,8.0,No,Smooth,Humid,64062.6,39758.9,15148.4,4.07
Truck,Diesel,Automatic,Japan,260,320,228,7.86,30.17,1982,4.84,driven,Pirelli,195/65R15,Silica Compound,Asymmetric,-0.96,8.0,No,Rough,Cold,65419.8,3340.1,38694.0,7.84
SUV,Hybrid,Automatic,UK,310,485,211,11.87,45.87,2112,6.45,dead,Pirelli,225/65R17,Dual Compound,Symmetric,-2.61,7.5,No,Off-road,Rainy,44760.0,200.0,27774.0,7.5
Sedan,Diesel,Manual,USA,380,234,207,10.2,35.72,1996,5.48,dead,Continental,225/65R17,Silica Compound,Asymmetric,0.03,8.0,No,Smooth,Cold,44147.8,38941.5,3245.1,2.48
Coupe,Petrol,Manual,UK,227,278,277,4.83,43.18,2434,4.62,dead,Continental,225/65R17,Dual Compound,Directional,0.61,8.5,No,Rough,Cold,58443.1,6735.7,32229.0,7.63
Truck,Petrol,Manual,Japan,359,161,254,12.24,50.62,1896,6.37,driven,Pirelli,225/65R17,Carbon Black,Directional,-2.96,8.5,No,Smooth,Dry,62707.5,36614.8,16263.5,4.45
Sedan,Petrol,Manual,Japan,268,366,196,10.77,51.64,1826,5.67,dead,Bridgestone,225/65R17,Dual Compound,Symmetric,-2.43,8.0,No,Smooth,Dry,48169.8,45932.1,1394.7,2.11
Coupe,Diesel,Manual,UK,426,187,205,5.99,26.11,2264,5.9,driven,Pirelli,245/40R18,Carbon Black,Symmetric,-1.76,8.5,No,Off-road,Dry,55775.4,28552.0,16968.2,4.97
Sedan,Electric,Automatic,UK,429,564,229,4.8,22.52,1777,5.55,dead,Michelin,225/65R17,Carbon Black,Symmetric,-0.91,8.5,No,Rough,Cold,63167.2,8830.6,33867.7,7.65
Hatchback,Diesel,Manual,UK,393,564,189,12.37,25.45,1222,6.17,dead,Goodyear,225/65R17,Silica Compound,Asymmetric,0.25,8.0,No,Off-road,Cold,63025.1,24799.4,23825.9,5.43
Sedan,Electric,Manual,India,207,445,153,4.79,45.05,1467,4.57,driven,Pirelli,195/65R15,Silica Compound,Symmetric,-1.24,7.5,No,Smooth,Rainy,59614.6,37202.0,13969.6,3.79
Sedan,Diesel,Automatic,Japan,86,453,155,4.91,29.8,1568,5.04,dead,Pirelli,225/65R17,Silica Compound,Asymmetric,-1.34,7.5,No,Rough,Humid,42363.6,32316.7,6262.2,2.91
Sedan,Diesel,Manual,Japan,126,315,181,8.27,21.94,2345,5.44,driven,Goodyear,205/55R16,Dual Compound,Directional,2.22,7.5,No,Off-road,Cold,41519.3,25199.7,10172.0,3.93
Truck,Petrol,Automatic,India,132,209,249,5.35,18.94,1374,4.65,driven,Goodyear,225/65R17,Dual Compound,Asymmetric,-2.13,8.0,No,Rough,Humid,51653.4,1772.5,31090.5,7.85
Sedan,Hybrid,Automatic,UK,266,230,161,13.14,28.09,2135,5.91,driven,Michelin,245/40R18,Silica Compound,Symmetric,-0.03,7.5,No,Smooth,Cold,40800.6,5838.7,21791.6,6.58
Coupe,Hybrid,Automatic,USA,117,487,207,8.7,20.45,1526,5.29,driven,Goodyear,225/65R17,Silica Compound,Asymmetric,2.72,7.5,No,Rough,Humid,67124.3,24956.9,26282.7,5.34
Hatchback,Electric,Automatic,UK,305,478,158,9.69,21.25,1411,5.05,driven,Continental,195/65R15,Carbon Black,Asymmetric,0.75,8.5,No,Smooth,Dry,40604.3,28655.0,7447.9,3.59
Hatchback,Hybrid,Automatic,UK,132,264,205,13.28,42.36,1268,4.51,dead,Pirelli,205/55R16,Dual Compound,Asymmetric,1.3,7.5,No,Off-road,Cold,40888.4,23892.2,10593.6,4.17
Sedan,Diesel,Manual,India,303,394,212,9.3,15.79,1625,5.94,driven,Goodyear,205/55R16,Carbon Black,Symmetric,-0.41,8.0,No,Smooth,Rainy,44959.8,2009.5,26770.7,7.75
Truck,Diesel,Automatic,Japan,233,298,193,7.54,19.7,2275,6.17,dead,Michelin,225/65R17,Dual Compound,Asymmetric,-2.88,7.5,No,Smooth,Humid,58810.5,46865.2,7445.4,2.42
Truck,Petrol,Automatic,UK,127,360,251,11.97,48.77,2011,5.29,driven,Goodyear,225/65R17,Silica Compound,Symmetric,0.88,8.5,No,Rough,Dry,56246.6,34036.2,13843.6,4.25
Coupe,Petrol,Manual,Japan,430,445,157,8.43,48.8,2397,5.63,driven,Pirelli,225/65R17,Dual Compound,Asymmetric,0.79,8.5,No,Rough,Rainy,59784.6,53037.9,4205.2,2.54
Sedan,Hybrid,Manual,Germany,226,438,256,7.18,28.17,1449,4.96,dead,Bridgestone,225/65R17,Dual Compound,Asymmetric,-2.34,8.5,No,Off-road,Dry,66806.7,27902.0,24249.1,5.76
Hatchback,Electric,Automatic,Japan,143,596,224,11.23,18.52,1801,5.74,dead,Goodyear,195/65R15,Carbon Black,Asymmetric,-0.23,8.5,No,Rough,Cold,53648.4,26298.5,17047.0,5.13
Truck,Hybrid,Manual,USA,428,450,278,12.02,43.2,2391,4.52,driven,Continental,195/65R15,Silica Compound,Symmetric,2.49,7.5,No,Off-road,Rainy,41316.3,16755.8,15308.4,5.08
Sedan,Hybrid,Manual,USA,261,583,178,11.92,29.41,1821,5.48,driven,Pirelli,205/55R16,Silica Compound,Symmetric,-1.77,8.5,No,Smooth,Humid,62904.9,45445.9,10882.1,3.66
Truck,Hybrid,Automatic,UK,204,533,244,13.78,16.82,1254,5.79,dead,Michelin,225/65R17,Silica Compound,Symmetric,-0.23,8.5,No,Smooth,Humid,64358.9,48406.3,9943.2,3.52
Truck,Hybrid,Automatic,Japan,258,272,207,11.87,21.31,2486,6.34,dead,Pirelli,195/65R15,Carbon Black,Directional,-0.23,8.5,No,Rough,Rainy,41496.7,30012.1,7158.2,3.67
Hatchback,Diesel,Manual,UK,118,223,164,11.7,20.49,2291,5.26,driven,Bridgestone,195/65R15,Carbon Black,Symmetric,1.86,7.5,No,Smooth,Humid,47285.5,13788.4,20878.6,5.69
SUV,Electric,Automatic,India,339,194,262,12.57,38.56,1125,6.03,driven,Michelin,205/55R16,Carbon Black,Asymmetric,1.95,8.0,No,Smooth,Dry,63117.9,40145.0,14318.9,4.07
Coupe,Diesel,Automatic,USA,82,247,260,4.0,50.92,2416,5.7,driven,Bridgestone,205/55R16,Dual Compound,Directional,1.56,8.5,No,Off-road,Rainy,51284.7,17361.3,21144.3,5.98
Coupe,Electric,Manual,UK,143,318,200,7.62,46.72,1761,6.35,dead,Bridgestone,245/40R18,Dual Compound,Symmetric,-0.81,8.5,No,Rough,Humid,54179.5,45196.6,5599.0,2.8
Hatchback,Petrol,Automatic,India,108,273,239,11.38,36.86,1798,5.3,driven,Continental,195/65R15,Carbon Black,Symmetric,-2.57,8.5,No,Off-road,Dry,64695.3,3565.8,38101.7,8.19
Truck,Hybrid,Automatic,UK,90,175,190,10.0,31.89,2357,5.14,dead,Goodyear,205/55R16,Carbon Black,Directional,-0.9,7.5,No,Smooth,Humid,42838.6,1615.9,25693.9,7.15
Sedan,Diesel,Automatic,Japan,176,397,237,5.78,39.75,1564,6.27,dead,Continental,195/65R15,Silica Compound,Directional,1.08,7.5,No,Smooth,Dry,60318.5,6134.9,33772.4,6.9
Truck,Electric,Automatic,Japan,437,464,276,7.04,32.75,2391,4.6,driven,Continental,195/65R15,Dual Compound,Symmetric,1.22,8.5,No,Smooth,Cold,46449.5,9399.7,23093.0,7.18
Hatchback,Petrol,Automatic,Japan,282,138,141,7.37,24.84,1455,4.77,driven,Continental,225/65R17,Dual Compound,Directional,2.79,8.0,No,Rough,Dry,41879.5,1576.2,25120.9,7.68
Coupe,Petrol,Manual,Japan,100,278,144,9.68,42.17,2090,4.66,dead,Michelin,225/65R17,Silica Compound,Asymmetric,-0.28,8.5,No,Smooth,Humid,59874.9,4288.0,34647.0,8.03
Truck,Hybrid,Manual,Germany,118,145,225,12.32,49.93,2089,6.19,driven,Goodyear,225/65R17,Silica Compound,Asymmetric,0.79,8.0,No,Smooth,Dry,43642.4,13357.0,18876.7,5.92
Coupe,Electric,Automatic,India,302,545,272,13.32,29.91,1911,4.52,driven,Goodyear,225/65R17,Silica Compound,Asymmetric,0.24,8.0,No,Off-road,Humid,62410.2,6228.0,35018.1,7.46
Sedan,Diesel,Manual,India,181,288,207,11.5,48.66,1861,6.22,dead,Michelin,195/65R15,Carbon Black,Symmetric,-2.1,7.5,No,Rough,Rainy,46081.2,36960.5,5684.9,2.74
Coupe,Hybrid,Automatic,Japan,125,142,148,12.43,32.24,1616,5.4,driven,Continental,245/40R18,Carbon Black,Asymmetric,-0.23,7.5,No,Smooth,Rainy,41455.4,2233.1,24447.0,7.25
Coupe,Diesel,Automatic,Germany,145,166,232,8.7,31.05,1399,4.51,dead,Continental,245/40R18,Carbon Black,Directional,0.27,7.5,No,Off-road,Cold,42978.9,39021.8,2466.4,2.05
SUV,Petrol,Automatic,Japan,170,132,277,7.9,16.13,1286,5.3,dead,Bridgestone,245/40R18,Carbon Black,Asymmetric,2.7,8.0,Yes,Smooth,Dry,65238.1,56811.9,5252.0,2.26
SUV,Diesel,Automatic,Germany,243,336,264,7.93,42.81,1185,4.87,driven,Bridgestone,195/65R15,Carbon Black,Directional,-0.8,8.0,No,Off-road,Cold,51129.0,10654.5,25227.6,6.65
SUV,Diesel,Automatic,Japan,190,441,200,10.16,47.3,1283,5.75,dead,Pirelli,245/40R18,Dual Compound,Asymmetric,2.88,8.0,No,Smooth,Rainy,49068.0,3509.7,28396.3,7.71
Coupe,Hybrid,Manual,USA,417,313,190,5.24,41.54,1649,5.86,dead,Bridgestone,195/65R15,Dual Compound,Directional,0.25,7.5,No,Rough,Dry,54736.0,5776.6,30516.2,6.97
Hatchback,Diesel,Manual,USA,202,263,149,9.79,21.05,1690,5.48,driven,Goodyear,205/55R16,Dual Compound,Asymmetric,-1.55,7.5,No,Rough,Dry,58988.0,32979.5,16211.0,4.32
Coupe,Hybrid,Automatic,UK,272,192,273,10.65,19.13,1236,4.58,dead,Michelin,245/40R18,Silica Compound,Asymmetric,-1.85,7.5,No,Off-road,Cold,41113.1,24705.5,10226.8,3.9
Hatchback,Petrol,Manual,Japan,178,275,201,8.39,37.91,2041,5.81,driven,Continental,195/65R15,Dual Compound,Asymmetric,-2.15,8.5,Yes,Smooth,Cold,66945.7,21126.9,28558.6,6.28
Hatchback,Hybrid,Automatic,India,370,196,252,13.53,31.06,1814,6.18,dead,Pirelli,205/55R16,Silica Compound,Directional,-0.28,8.0,No,Rough,Dry,68754.4,20408.6,30133.7,6.16
SUV,Hybrid,Manual,UK,238,538,272,10.08,32.16,1927,5.94,dead,Bridgestone,225/65R17,Dual Compound,Directional,-2.87,8.0,No,Smooth,Dry,52519.2,27914.0,15336.3,4.58
Truck,Electric,Automatic,USA,182,288,261,6.2,53.71,1413,6.16,dead,Pirelli,205/55R16,Carbon Black,Asymmetric,-0.33,8.5,No,Rough,Dry,52378.9,16008.5,22669.5,6.37
Sedan,Diesel,Manual,Japan,360,580,262,8.79,43.96,1008,4.9,dead,Michelin,205/55R16,Dual Compound,Directional,2.93,8.0,No,Off-road,Cold,66356.8,61998.4,2716.5,1.85
SUV,Petrol,Automatic,UK,122,406,202,10.75,31.47,1419,6.28,dead,Michelin,245/40R18,Carbon Black,Directional,1.02,8.0,No,Rough,Humid,52879.4,20233.3,20348.1,5.58
SUV,Hybrid,Automatic,Japan,163,204,250,7.24,15.76,1028,5.14,dead,Pirelli,225/65R17,Carbon Black,Symmetric,1.56,8.5,No,Smooth,Rainy,65685.7,14438.6,31942.0,7.1
Truck,Petrol,Manual,USA,270,535,228,4.8,16.36,1347,4.53,dead,Pirelli,225/65R17,Dual Compound,Asymmetric,-2.29,8.0,No,Smooth,Rainy,40850.1,5962.7,21745.2,6.95
Sedan,Electric,Manual,UK,130,301,190,9.83,42.39,1660,6.19,driven,Pirelli,245/40R18,Dual Compound,Directional,-0.16,7.5,No,Smooth,Cold,54689.5,34547.8,12554.2,3.86
Coupe,Diesel,Automatic,USA,289,575,271,13.48,48.51,1575,6.38,dead,Continental,205/55R16,Carbon Black,Directional,-1.28,8.5,No,Off-road,Dry,68572.9,22400.1,28779.2,6.3
Coupe,Hybrid,Manual,Germany,205,434,243,8.85,43.31,1449,5.81,driven,Goodyear,195/65R15,Silica Compound,Directional,2.36,8.0,No,Off-road,Rainy,47584.1,8983.6,24059.5,6.8
SUV,Diesel,Automatic,USA,148,416,262,13.06,31.24,1379,4.96,dead,Bridgestone,245/40R18,Silica Compound,Directional,-1.91,7.5,Yes,Smooth,Rainy,47984.6,13234.9,21659.3,5.72
Sedan,Electric,Manual,Japan,344,231,187,12.35,16.25,1698,5.0,dead,Bridgestone,205/55R16,Dual Compound,Symmetric,-0.25,8.0,No,Smooth,Rainy,58903.7,18135.4,25410.7,6.08
SUV,Electric,Manual,India,337,569,171,5.47,53.7,1365,5.43,driven,Bridgestone,195/65R15,Carbon Black,Directional,0.53,8.5,No,Rough,Rainy,67785.7,42422.6,15808.7,4.13
Hatchback,Petrol,Automatic,USA,267,349,259,11.08,54.45,2250,6.3,driven,Pirelli,245/40R18,Silica Compound,Directional,0.08,7.5,No,Rough,Dry,45962.3,8028.8,23643.8,6.36
SUV,Hybrid,Manual,India,309,215,238,8.35,36.97,2141,4.8,driven,Pirelli,245/40R18,Dual Compound,Symmetric,1.98,8.0,No,Rough,Cold,67649.5,49573.8,11266.5,3.14
SUV,Petrol,Manual,Germany,268,557,213,6.5,17.83,1411,6.15,dead,Pirelli,225/65R17,Dual Compound,Asymmetric,-1.61,8.5,No,Smooth,Dry,59890.1,18259.4,25948.2,6.7
Coupe,Electric,Automatic,UK,89,287,173,10.87,36.64,1950,5.08,driven,Continental,225/65R17,Carbon Black,Asymmetric,-0.74,8.0,No,Rough,Dry,69791.4,34079.8,22258.9,4.87
Coupe,Diesel,Manual,UK,193,497,209,11.43,50.69,1355,6.12,dead,Continental,225/65R17,Silica Compound,Symmetric,1.75,8.0,No,Smooth,Rainy,62093.8,40661.4,13358.7,3.75
Coupe,Petrol,Automatic,India,155,275,249,5.8,42.2,1253,6.34,dead,Continental,195/65R15,Dual Compound,Asymmetric,0.17,7.5,No,Off-road,Rainy,60034.0,32635.7,17077.2,4.23
Hatchback,Petrol,Automatic,UK,243,540,155,13.14,43.8,1726,5.35,driven,Continental,245/40R18,Silica Compound,Asymmetric,-0.59,8.0,No,Rough,Dry,64447.1,42679.0,13567.9,3.71
Coupe,Diesel,Automatic,USA,164,224,198,11.51,18.4,2467,5.23,dead,Michelin,225/65R17,Dual Compound,Symmetric,-2.82,8.5,No,Smooth,Dry,45254.2,14598.8,19107.4,6.29
Sedan,Petrol,Automatic,India,128,312,158,13.33,19.26,1680,6.1,driven,Continental,225/65R17,Dual Compound,Directional,1.52,8.5,No,Smooth,Dry,68379.6,65880.3,1557.8,1.99
Truck,Diesel,Automatic,Japan,405,449,234,7.17,20.09,2104,5.56,driven,Continental,245/40R18,Silica Compound,Symmetric,2.83,7.5,No,Off-road,Humid,44967.9,20639.8,15163.6,4.71
Sedan,Hybrid,Manual,USA,256,558,252,13.39,51.18,2069,5.87,driven,Continental,195/65R15,Silica Compound,Symmetric,0.72,7.5,No,Off-road,Rainy,40770.1,13125.3,17230.9,5.58
Sedan,Diesel,Automatic,USA,297,251,180,7.69,36.03,2072,5.75,driven,Bridgestone,225/65R17,Carbon Black,Symmetric,2.14,8.0,No,Off-road,Cold,60935.7,18061.0,26723.6,6.34
Coupe,Hybrid,Automatic,USA,268,474,220,4.54,46.66,2472,4.81,dead,Bridgestone,205/55R16,Carbon Black,Symmetric,0.1,8.5,No,Off-road,Cold,45537.9,1944.2,27171.7,8.03
Truck,Diesel,Manual,Japan,425,501,242,11.63,19.61,1809,6.19,dead,Bridgestone,195/65R15,Carbon Black,Symmetric,-1.61,7.5,No,Rough,Cold,62762.6,42980.2,12330.3,3.28
Truck,Electric,Manual,Germany,309,257,193,11.04,52.11,2430,4.89,driven,Goodyear,225/65R17,Carbon Black,Directional,-2.91,8.0,No,Off-road,Humid,63851.2,16761.9,29350.5,6.37
Truck,Electric,Manual,UK,334,550,234,9.98,47.85,2306,6.36,driven,Michelin,205/55R16,Silica Compound,Asymmetric,0.92,8.0,No,Smooth,Humid,47101.0,45166.5,1205.7,2.0
Hatchback,Hybrid,Automatic,India,315,450,201,8.9,23.99,1472,5.0,dead,Pirelli,225/65R17,Carbon Black,Symmetric,-0.04,8.5,No,Smooth,Cold,42601.6,8965.3,20965.4,7.37
Coupe,Hybrid,Automatic,Germany,105,389,238,4.32,49.97,1415,5.97,dead,Continental,195/65R15,Silica Compound,Directional,1.69,8.5,No,Smooth,Cold,55024.6,29135.1,16136.8,4.94
Truck,Electric,Automatic,India,151,157,232,10.25,25.54,1978,5.07,driven,Bridgestone,245/40R18,Dual Compound,Symmetric,1.17,8.0,No,Smooth,Cold,66706.6,49060.7,10998.6,3.17
Hatchback,Hybrid,Manual,UK,340,515,204,8.17,23.21,1599,5.14,dead,Michelin,245/40R18,Silica Compound,Directional,2.93,8.5,No,Smooth,Dry,65418.7,56921.8,5296.1,2.73
SUV,Diesel,Automatic,Japan,333,164,207,9.6,25.57,2144,5.12,dead,Continental,195/65R15,Carbon Black,Asymmetric,0.06,8.0,No,Off-road,Rainy,43512.5,6808.0,22877.7,7.01
SUV,Diesel,Manual,USA,350,520,167,8.29,51.4,2026,6.0,dead,Goodyear,225/65R17,Silica Compound,Directional,-0.44,8.0,No,Smooth,Humid,68943.5,67937.0,627.3,1.7
Hatchback,Electric,Automatic,USA,202,583,157,13.66,51.62,2339,5.61,dead,Pirelli,195/65R15,Silica Compound,Directional,-1.28,8.5,Yes,Off-road,Humid,47918.5,43450.0,2785.2,2.14
Hatchback,Petrol,Manual,Japan,223,282,165,10.04,28.16,1459,6.27,driven,Continental,205/55R16,Silica Compound,Asymmetric,-0.14,7.5,No,Off-road,Dry,50481.7,48606.3,1168.9,1.84
Coupe,Diesel,Automatic,Germany,336,569,243,11.49,43.22,2250,5.11,dead,Pirelli,225/65R17,Silica Compound,Asymmetric,2.24,8.0,No,Off-road,Humid,44471.5,37919.6,4083.8,2.45
Coupe,Hybrid,Automatic,Germany,223,450,194,13.36,42.03,1078,5.88,driven,Continental,195/65R15,Silica Compound,Directional,-2.75,8.5,No,Off-road,Cold,51334.1,45054.4,3914.1,2.59
SUV,Petrol,Automatic,India,338,372,258,9.92,47.26,1774,6.01,driven,Goodyear,245/40R18,Carbon Black,Symmetric,2.87,8.0,Yes,Rough,Humid,59069.2,35372.4,14770.1,4.17
Truck,Petrol,Manual,Japan,126,288,263,4.12,26.86,2094,4.8,driven,Michelin,195/65R15,Silica Compound,Symmetric,2.96,8.0,No,Rough,Dry,55182.3,46646.2,5320.5,2.61
SUV,Diesel,Manual,Germany,430,570,273,4.34,35.41,1895,5.3,dead,Pirelli,225/65R17,Carbon Black,Asymmetric,0.59,8.0,Yes,Rough,Rainy,64826.2,34618.0,18828.6,4.59
Truck,Diesel,Automatic,Japan,92,404,268,11.02,41.71,2220,5.47,dead,Pirelli,195/65R15,Dual Compound,Symmetric,-1.01,8.5,No,Rough,Cold,59239.0,31883.5,17050.6,4.76
Truck,Petrol,Automatic,UK,287,393,147,6.79,16.05,1057,5.21,driven,Michelin,245/40R18,Silica Compound,Asymmetric,-1.66,8.5,No,Rough,Humid,47906.3,26951.1,13061.3,4.59
Coupe,Petrol,Automatic,USA,390,139,190,9.79,30.07,2447,5.14,dead,Pirelli,205/55R16,Dual Compound,Directional,-1.34,8.5,No,Smooth,Cold,56723.1,56514.3,130.2,1.82
Sedan,Electric,Manual,USA,314,358,224,6.02,42.84,2492,5.87,driven,Bridgestone,195/65R15,Carbon Black,Directional,-2.7,7.5,No,Rough,Rainy,41925.7,4376.8,23404.0,6.87
Sedan,Hybrid,Automatic,USA,228,389,164,6.7,25.1,1623,4.93,driven,Michelin,195/65R15,Silica Compound,Symmetric,-0.15,8.0,No,Smooth,Humid,57423.7,46261.1,6957.6,2.78
Hatchback,Electric,Automatic,Japan,401,537,222,9.05,53.31,1047,5.92,dead,Goodyear,205/55R16,Dual Compound,Asymmetric,-2.66,7.5,Yes,Smooth,Cold,51689.9,14127.5,23412.5,5.81
Coupe,Diesel,Automatic,Japan,234,552,232,13.76,16.21,2458,6.37,dead,Continental,195/65R15,Carbon Black,Symmetric,1.31,8.0,No,Off-road,Dry,42952.0,15515.4,17101.1,5.76
Truck,Electric,Automatic,India,245,429,256,10.16,53.32,2208,5.63,dead,Continental,245/40R18,Dual Compound,Symmetric,-0.77,8.5,No,Off-road,Dry,49223.9,3964.2,28210.2,7.88
Sedan,Electric,Manual,USA,169,150,277,13.36,23.67,1838,5.72,driven,Michelin,205/55R16,Silica Compound,Directional,-1.8,8.0,Yes,Off-road,Rainy,66942.6,23535.3,27055.6,5.91
Truck,Electric,Manual,India,265,433,195,13.59,16.95,1164,4.64,driven,Bridgestone,245/40R18,Silica Compound,Symmetric,0.27,8.0,No,Rough,Rainy,57581.1,57049.2,331.5,1.64
Sedan,Electric,Automatic,USA,397,223,151,6.08,26.7,2354,6.23,dead,Goodyear,245/40R18,Silica Compound,Directional,2.84,8.0,No,Smooth,Rainy,67097.9,26642.5,25215.7,5.42
Sedan,Hybrid,Automatic,India,437,289,259,7.11,46.45,1329,5.07,driven,Continental,245/40R18,Carbon Black,Asymmetric,1.17,7.5,No,Rough,Humid,52324.1,35040.8,10772.6,3.54
Sedan,Hybrid,Manual,India,253,305,210,11.7,45.1,2144,5.73,driven,Continental,225/65R17,Dual Compound,Symmetric,-0.05,8.5,No,Off-road,Rainy,69367.3,8373.5,38017.1,7.65
Coupe,Petrol,Manual,UK,296,247,156,12.67,23.35,1212,6.46,driven,Bridgestone,205/55R16,Carbon Black,Directional,1.66,8.5,No,Off-road,Humid,50800.6,46863.4,2454.0,2.27
SUV,Diesel,Automatic,India,343,329,261,9.19,22.87,1506,5.69,dead,Pirelli,225/65R17,Dual Compound,Symmetric,1.42,8.0,No,Smooth,Cold,62704.1,51903.1,6732.3,2.7
Truck,Electric,Manual,Japan,176,533,263,13.93,40.7,1915,5.95,dead,Michelin,225/65R17,Carbon Black,Asymmetric,2.35,8.5,No,Smooth,Dry,49162.1,18991.0,18805.5,5.7
Coupe,Petrol,Manual,India,196,400,149,4.12,33.32,1800,5.39,dead,Bridgestone,195/65R15,Silica Compound,Symmetric,-1.77,7.5,Yes,Off-road,Cold,43179.7,15046.5,17535.3,5.3
Coupe,Petrol,Automatic,USA,278,566,170,7.0,46.69,1167,4.62,driven,Bridgestone,205/55R16,Dual Compound,Symmetric,2.15,7.5,No,Rough,Dry,64991.7,28093.8,22998.3,4.94
Coupe,Petrol,Manual,India,399,372,199,10.23,15.97,1994,6.1,dead,Bridgestone,195/65R15,Dual Compound,Directional,-1.19,8.5,No,Rough,Rainy,62877.4,25230.1,23465.4,5.73
Coupe,Hybrid,Manual,Germany,100,138,209,8.69,39.42,1829,4.57,driven,Bridgestone,225/65R17,Dual Compound,Asymmetric,2.65,7.5,Yes,Smooth,Cold,64618.9,16675.0,29883.2,6.16
Coupe,Electric,Automatic,USA,279,319,156,5.17,44.23,1995,5.9,driven,Pirelli,195/65R15,Carbon Black,Asymmetric,-1.31,7.5,No,Off-road,Cold,48990.8,48542.4,279.5,1.48
Hatchback,Electric,Automatic,Germany,420,339,189,7.68,54.74,1986,4.55,driven,Goodyear,245/40R18,Silica Compound,Asymmetric,2.56,8.5,No,Rough,Rainy,61109.8,49532.4,7216.2,2.86
Truck,Diesel,Manual,USA,327,255,176,4.25,42.15,1786,6.22,dead,Bridgestone,225/65R17,Dual Compound,Symmetric,2.78,8.5,No,Smooth,Cold,46597.7,12484.6,21262.5,6.68
Coupe,Electric,Automatic,Japan,355,342,257,10.43,24.27,1426,4.82,driven,Bridgestone,245/40R18,Carbon Black,Directional,-2.13,8.0,No,Smooth,Humid,40339.3,39602.1,459.5,1.74
Truck,Electric,Manual,Japan,343,122,219,12.93,19.33,2244,5.53,dead,Michelin,205/55R16,Dual Compound,Symmetric,2.85,8.0,No,Smooth,Dry,65994.7,1024.9,40495.3,7.99
Hatchback,Petrol,Automatic,Japan,137,570,150,12.85,40.64,2015,5.69,driven,Continental,195/65R15,Silica Compound,Symmetric,-2.49,7.5,No,Rough,Rainy,55705.8,24393.4,19516.8,4.62
Hatchback,Diesel,Manual,Germany,381,355,273,11.0,35.93,2033,5.42,dead,Pirelli,225/65R17,Dual Compound,Symmetric,-1.69,8.5,No,Smooth,Humid,69509.6,39584.7,18652.0,4.78
Truck,Electric,Automatic,UK,110,461,262,8.66,50.97,2143,5.18,dead,Bridgestone,205/55R16,Silica Compound,Asymmetric,-0.33,7.5,No,Rough,Humid,51551.1,1937.6,30923.8,7.14
Sedan,Hybrid,Manual,USA,328,584,174,9.12,44.06,2270,5.44,dead,Goodyear,245/40R18,Carbon Black,Directional,2.96,8.5,No,Smooth,Rainy,68706.2,11064.3,35927.9,7.51
SUV,Electric,Manual,Japan,172,347,172,5.37,35.39,2383,5.12,dead,Goodyear,195/65R15,Carbon Black,Asymmetric,-0.07,7.5,No,Rough,Cold,58451.7,15088.2,27028.3,6.15
Sedan,Petrol,Manual,USA,344,520,157,7.41,31.14,2244,5.38,dead,Goodyear,195/65R15,Silica Compound,Symmetric,0.3,7.5,Yes,Off-road,Dry,55366.2,39876.2,9654.8,3.25
Sedan,Hybrid,Automatic,Germany,350,261,152,5.88,31.17,1772,5.22,dead,Michelin,225/65R17,Silica Compound,Symmetric,1.17,7.5,No,Rough,Humid,49084.3,46126.6,1843.5,1.75
